mhu-mlv[cms],stc-mlv[cms],eri-mlv[cms],scr-lev[m],det-lev[m],nia-lev[m]
176.8273,175.5125,174.6556,5860.0,6150.0,6630.0
176.8282,175.5133,174.6558,5860.0,6150.0,6630.0
176.8291,175.5141,174.656,5860.0,6150.0,6630.0
176.83,175.5149,174.6562,5860.0,6150.0,6630.0
176.8309,175.5157,174.6564,5860.0,6160.0,6630.0
176.8318,175.5161,174.6567,5860.0,6160.0,6630.0
176.8327,175.5161,174.6569,5860.0,6160.0,6630.0
176.8336,175.5161,174.6573,5860.0,6160.0,6630.0
176.8345,175.5165,174.6575,5870.0,6160.0,6640.0
176.8354,175.5173,174.6577,5870.0,6160.0,6640.0
176.8363,175.5181,174.6579,5870.0,6160.0,6640.0
176.8372,175.5185,174.6582,5870.0,6160.0,6640.0
176.8379,175.5173,174.6566,5870.0,6160.0,6580.0
176.8381,175.5154,174.6532,5870.0,6160.0,6570.0
176.8384,175.5138,174.6499,5880.0,6160.0,6560.0
176.8388,175.5118,174.6465,5880.0,6170.0,6560.0
176.839,175.5096,174.6433,5880.0,6170.0,6550.0
176.8393,175.5076,174.64,5890.0,6170.0,6540.0
176.8397,175.506,174.6368,5890.0,6170.0,6530.0
176.8399,175.5044,174.6336,5890.0,6170.0,6530.0
176.8402,175.5028,174.6304,5890.0,6170.0,6520.0
176.8406,175.5009,174.6273,5900.0,6170.0,6510.0
176.8408,175.4993,174.6241,5900.0,6170.0,6510.0
176.8411,175.4981,174.621,5900.0,6180.0,6500.0
176.8415,175.4965,174.618,5900.0,6180.0,6490.0
176.8417,175.4953,174.615,5900.0,6180.0,6490.0
176.8421,175.4945,174.612,5910.0,6180.0,6480.0
176.8424,175.4933,174.609,5910.0,6190.0,6470.0
176.8426,175.4917,174.6062,5910.0,6190.0,6470.0
176.843,175.4901,174.6033,5910.0,6190.0,6460.0
176.8433,175.4885,174.6003,5920.0,6190.0,6460.0
176.8435,175.4873,174.5974,5920.0,6190.0,6450.0
176.8437,175.4861,174.5946,5920.0,6200.0,6440.0
176.8439,175.4845,174.5918,5920.0,6200.0,6440.0
176.8441,175.4829,174.589,5920.0,6200.0,6430.0
176.8443,175.4817,174.5862,5920.0,6200.0,6430.0
176.8445,175.4809,174.5835,5930.0,6200.0,6420.0
176.8447,175.4797,174.5808,5930.0,6200.0,6410.0
176.8449,175.4781,174.5781,5930.0,6210.0,6410.0
176.8451,175.4765,174.5754,5930.0,6210.0,6400.0
176.8453,175.4749,174.5728,5930.0,6210.0,6400.0
176.8455,175.4737,174.5702,5940.0,6210.0,6390.0
176.8454,175.4733,174.5683,5940.0,6210.0,6220.0
176.845,175.4733,174.5669,5940.0,6210.0,6210.0
176.8446,175.4733,174.5657,5930.0,6220.0,6210.0
176.8442,175.4725,174.5643,5930.0,6220.0,6210.0
176.8438,175.4717,174.563,5930.0,6220.0,6210.0
176.8434,175.4709,174.5618,5930.0,6220.0,6200.0
176.843,175.4701,174.5606,5930.0,6220.0,6200.0
176.8426,175.4693,174.5593,5930.0,6220.0,6200.0
176.8422,175.4677,174.5581,5940.0,6210.0,6200.0
176.8418,175.4669,174.5569,5940.0,6210.0,6190.0
176.8414,175.4669,174.5557,5930.0,6220.0,6190.0
176.841,175.4661,174.5545,5930.0,6220.0,6190.0
176.8406,175.4653,174.5533,5930.0,6220.0,6190.0
176.8402,175.4645,174.5521,5930.0,6220.0,6180.0
176.8398,175.4637,174.5509,5930.0,6220.0,6180.0
176.8394,175.4629,174.5497,5930.0,6220.0,6180.0
176.839,175.4621,174.5485,5930.0,6220.0,6180.0
176.8386,175.4613,174.5473,5930.0,6220.0,6170.0
176.8382,175.4597,174.5462,5940.0,6210.0,6170.0
176.8378,175.4589,174.5451,5940.0,6210.0,6170.0
176.8374,175.4581,174.5439,5940.0,6210.0,6170.0
176.837,175.4573,174.5429,5940.0,6210.0,6160.0
176.8366,175.4565,174.5418,5940.0,6210.0,6160.0
176.8362,175.4557,174.5406,5940.0,6210.0,6160.0
176.8358,175.4557,174.5395,5930.0,6210.0,6160.0
176.8354,175.4553,174.5385,5930.0,6220.0,6150.0
176.835,175.4549,174.5374,5930.0,6220.0,6150.0
176.8346,175.4541,174.5362,5930.0,6220.0,6150.0
176.8342,175.4533,174.5352,5930.0,6220.0,6150.0
176.8338,175.4525,174.5341,5930.0,6220.0,6140.0
176.8334,175.4517,174.5331,5930.0,6210.0,6140.0
176.8327,175.4509,174.5313,5930.0,6220.0,6220.0
176.8315,175.4489,174.5291,5930.0,6210.0,6220.0
176.8305,175.447,174.5269,5930.0,6210.0,6210.0
176.8293,175.4454,174.5247,5930.0,6210.0,6210.0
176.8282,175.4438,174.5225,5930.0,6210.0,6200.0
176.8272,175.4422,174.5203,5930.0,6210.0,6200.0
176.8261,175.4406,174.5181,5930.0,6210.0,6200.0
176.825,175.439,174.5159,5930.0,6210.0,6190.0
176.8238,175.4374,174.5137,5930.0,6210.0,6190.0
176.8228,175.4358,174.5115,5930.0,6210.0,6180.0
176.8217,175.4342,174.5094,5930.0,6210.0,6180.0
176.8205,175.4326,174.5073,5930.0,6210.0,6170.0
176.8195,175.4314,174.5052,5930.0,6210.0,6170.0
176.8184,175.4302,174.5032,5930.0,6210.0,6160.0
176.8173,175.4286,174.5011,5930.0,6210.0,6160.0
176.8161,175.4267,174.499,5930.0,6200.0,6150.0
176.8151,175.4251,174.497,5920.0,6200.0,6150.0
176.8139,175.4239,174.4949,5920.0,6200.0,6150.0
176.8128,175.4223,174.4928,5920.0,6200.0,6140.0
176.8118,175.4207,174.4908,5920.0,6200.0,6140.0
176.8107,175.4191,174.4888,5920.0,6200.0,6130.0
176.8096,175.4175,174.4868,5920.0,6200.0,6130.0
176.8084,175.4159,174.4848,5920.0,6200.0,6120.0
176.8074,175.4143,174.4828,5920.0,6200.0,6120.0
176.8063,175.4131,174.4809,5920.0,6200.0,6120.0
176.8051,175.4119,174.4789,5920.0,6200.0,6110.0
176.8041,175.4103,174.4771,5920.0,6190.0,6110.0
176.803,175.4087,174.4751,5920.0,6190.0,6100.0
176.8019,175.4075,174.4732,5920.0,6190.0,6100.0
176.8007,175.4067,174.4713,5920.0,6190.0,6100.0
176.7997,175.4055,174.4695,5910.0,6190.0,6090.0
176.7977,175.4016,174.4675,5910.0,6190.0,6140.0
176.7949,175.3962,174.4655,5910.0,6170.0,6140.0
176.7921,175.3919,174.4633,5910.0,6160.0,6140.0
176.7893,175.3884,174.4613,5910.0,6150.0,6130.0
176.7865,175.3852,174.4591,5910.0,6150.0,6130.0
176.7837,175.3826,174.457,5910.0,6140.0,6120.0
176.781,175.3799,174.4549,5900.0,6140.0,6120.0
176.7782,175.3772,174.4528,5900.0,6130.0,6110.0
176.7755,175.3749,174.4508,5900.0,6130.0,6110.0
176.7728,175.3725,174.4486,5890.0,6130.0,6110.0
176.7701,175.3702,174.4464,5890.0,6120.0,6100.0
176.7674,175.368,174.4443,5890.0,6120.0,6100.0
176.7647,175.366,174.4423,5880.0,6120.0,6090.0
176.762,175.3641,174.4401,5880.0,6110.0,6090.0
176.7593,175.3618,174.4381,5880.0,6110.0,6080.0
176.7566,175.3591,174.436,5880.0,6110.0,6080.0
176.7539,175.3564,174.4338,5870.0,6100.0,6070.0
176.7512,175.3541,174.4318,5870.0,6100.0,6070.0
176.7485,175.3521,174.4297,5870.0,6100.0,6070.0
176.7458,175.3497,174.4275,5860.0,6090.0,6060.0
176.7432,175.347,174.4255,5860.0,6090.0,6060.0
176.7405,175.3451,174.4233,5860.0,6090.0,6050.0
176.7378,175.3432,174.4212,5850.0,6080.0,6050.0
176.7351,175.3408,174.4192,5850.0,6080.0,6040.0
176.7323,175.3385,174.417,5850.0,6080.0,6040.0
176.7296,175.3366,174.4149,5840.0,6070.0,6030.0
176.7269,175.3347,174.4128,5840.0,6070.0,6030.0
176.7242,175.3324,174.4107,5840.0,6070.0,6030.0
176.7216,175.3296,174.4087,5840.0,6060.0,6020.0
176.7189,175.327,174.4066,5830.0,6060.0,6020.0
176.7162,175.3227,174.4037,5830.0,6050.0,6040.0
176.7135,175.3169,174.4001,5830.0,6040.0,6030.0
176.7108,175.3119,174.3963,5830.0,6030.0,6020.0
176.708,175.3075,174.3927,5830.0,6020.0,6020.0
176.7054,175.3037,174.3889,5830.0,6020.0,6010.0
176.7027,175.3002,174.3853,5830.0,6010.0,6000.0
176.7,175.297,174.3816,5830.0,6010.0,5990.0
176.6973,175.2935,174.378,5820.0,6010.0,5990.0
176.6946,175.2901,174.3744,5820.0,6000.0,5980.0
176.6919,175.287,174.3708,5820.0,6000.0,5970.0
176.6891,175.2839,174.3672,5820.0,6000.0,5960.0
176.6864,175.2803,174.3636,5820.0,5990.0,5960.0
176.6837,175.2768,174.36,5810.0,5990.0,5950.0
176.681,175.2738,174.3565,5810.0,5990.0,5940.0
176.6783,175.2711,174.3529,5810.0,5980.0,5930.0
176.6756,175.2683,174.3494,5810.0,5980.0,5930.0
176.673,175.2653,174.346,5800.0,5980.0,5920.0
176.6703,175.2621,174.3424,5800.0,5980.0,5910.0
176.6676,175.259,174.339,5800.0,5970.0,5900.0
176.6649,175.2564,174.3356,5800.0,5970.0,5900.0
176.6621,175.2536,174.3321,5790.0,5970.0,5890.0
176.6594,175.2505,174.3287,5790.0,5970.0,5880.0
176.6567,175.2475,174.3253,5790.0,5960.0,5880.0
176.6541,175.2447,174.3219,5790.0,5960.0,5870.0
176.6514,175.2421,174.3185,5780.0,5960.0,5860.0
176.6487,175.239,174.3152,5780.0,5960.0,5850.0
176.646,175.2362,174.3118,5780.0,5950.0,5850.0
176.6433,175.2339,174.3085,5780.0,5950.0,5840.0
176.6406,175.2312,174.3052,5770.0,5950.0,5830.0
176.6378,175.2282,174.3019,5770.0,5950.0,5830.0
176.6351,175.225,174.2986,5770.0,5950.0,5820.0
176.6324,175.2223,174.2953,5770.0,5940.0,5870.0
176.6297,175.2197,174.2923,5760.0,5940.0,5860.0
176.627,175.2165,174.2893,5760.0,5940.0,5860.0
176.6243,175.2138,174.2863,5760.0,5930.0,5850.0
176.6216,175.2116,174.2833,5760.0,5930.0,5840.0
176.6189,175.2088,174.2803,5750.0,5930.0,5840.0
176.6162,175.2057,174.2773,5750.0,5930.0,5830.0
176.6135,175.203,174.2743,5750.0,5920.0,5830.0
176.6108,175.2007,174.2713,5750.0,5920.0,5820.0
176.6081,175.198,174.2683,5740.0,5920.0,5810.0
176.6054,175.1953,174.2654,5740.0,5920.0,5810.0
176.6028,175.193,174.2625,5740.0,5910.0,5800.0
176.6001,175.1903,174.2595,5730.0,5910.0,5800.0
176.5974,175.1873,174.2567,5730.0,5910.0,5790.0
176.5947,175.1846,174.2538,5730.0,5900.0,5780.0
176.5919,175.1822,174.2508,5730.0,5900.0,5780.0
176.5892,175.1796,174.248,5720.0,5900.0,5770.0
176.5865,175.1765,174.245,5720.0,5900.0,5770.0
176.5838,175.1737,174.2422,5720.0,5890.0,5760.0
176.5812,175.1714,174.2393,5720.0,5890.0,5750.0
176.5785,175.1687,174.2365,5710.0,5890.0,5750.0
176.5758,175.166,174.2337,5710.0,5880.0,5740.0
176.5731,175.1637,174.2309,5710.0,5880.0,5740.0
176.5704,175.1611,174.2281,5710.0,5880.0,5730.0
176.5676,175.158,174.2253,5700.0,5870.0,5730.0
176.565,175.1553,174.2225,5700.0,5870.0,5720.0
176.5623,175.153,174.2197,5700.0,5870.0,5710.0
176.5596,175.1503,174.2169,5700.0,5870.0,5710.0
176.5569,175.1476,174.2141,5690.0,5860.0,5700.0
176.5542,175.1453,174.2113,5690.0,5860.0,5700.0
176.5515,175.1503,174.2107,5590.0,5800.0,5550.0
176.5487,175.1604,174.2123,5580.0,5830.0,5560.0
176.546,175.167,174.2141,5570.0,5840.0,5560.0
176.5433,175.1716,174.2159,5560.0,5860.0,5560.0
176.5406,175.1747,174.2177,5550.0,5860.0,5570.0
176.5379,175.1767,174.2195,5540.0,5870.0,5570.0
176.5353,175.1779,174.2213,5540.0,5870.0,5580.0
176.5327,175.1787,174.2231,5530.0,5860.0,5580.0
176.5301,175.1791,174.2249,5520.0,5860.0,5580.0
176.5275,175.1795,174.2267,5520.0,5860.0,5590.0
176.5249,175.1799,174.2283,5510.0,5860.0,5590.0
176.5223,175.1799,174.2301,5510.0,5850.0,5590.0
176.5197,175.1799,174.2317,5500.0,5850.0,5600.0
176.5171,175.1799,174.2333,5500.0,5850.0,5600.0
176.5145,175.1795,174.2349,5490.0,5840.0,5600.0
176.5119,175.1791,174.2365,5490.0,5840.0,5610.0
176.5093,175.1787,174.2381,5480.0,5830.0,5610.0
176.5067,175.1783,174.2396,5480.0,5830.0,5610.0
176.5041,175.1779,174.2412,5470.0,5820.0,5620.0
176.5015,175.1775,174.2426,5470.0,5820.0,5620.0
