UNITS:	meters	
KIND:	mlv	
INTERVAL:	dly	
LOCATION:	stc	
# daily lwa		
2014-04-26 , 	174.98
2014-04-27 , 	175.02
2014-04-28 , 	175.02
2014-04-29 , 	175.02
2014-04-30 , 	175.00
2014-05-01 , 	175.02
2014-05-02 , 	175.04
2014-05-03 , 	175.06
2014-05-04 , 	175.06
2014-05-05 , 	175.06
2014-05-06 , 	175.08
2014-05-07 , 	175.08
2014-05-08 , 	175.06
2014-05-09 , 	175.08
2014-05-10 , 	175.08
2014-05-11 , 	175.08
2014-05-12 , 	175.08
2014-05-13 , 	175.12
2014-05-14 , 	175.15
2014-05-15 , 	175.20
2014-05-16 , 	175.22
2014-05-17 , 	175.20
2014-05-18 , 	175.20
2014-05-19 , 	175.18
2014-05-20 , 	175.18
2014-05-21 , 	175.18
2014-05-22 , 	175.18
2014-05-23 , 	175.18
2014-05-24 , 	175.18
2014-05-25 , 	175.18
2014-05-26 , 	175.18
2014-05-27 , 	175.20
2014-05-28 , 	175.22
2014-05-29 , 	175.20
2014-05-30 , 	175.20
