UNITS:	cms	
KIND:	flow	
INTERVAL:	dly	
LOCATION:	nia	
# m applied d		
2014-12-24 , 	5970.00
2014-12-25 , 	5970.00
2014-12-26 , 	5970.00
2014-12-27 , 	5970.00
2014-12-28 , 	5970.00
2014-12-29 , 	5970.00
2014-12-30 , 	5970.00
2014-12-31 , 	5970.00
2015-01-01 , 	5810.00
2015-01-02 , 	5810.00
2015-01-03 , 	5810.00
2015-01-04 , 	5810.00
2015-01-05 , 	5810.00
2015-01-06 , 	5810.00
2015-01-07 , 	5810.00
2015-01-08 , 	5810.00
2015-01-09 , 	5810.00
2015-01-10 , 	5810.00
2015-01-11 , 	5810.00
2015-01-12 , 	5810.00
2015-01-13 , 	5810.00
2015-01-14 , 	5810.00
2015-01-15 , 	5810.00
2015-01-16 , 	5810.00
2015-01-17 , 	5810.00
2015-01-18 , 	5810.00
2015-01-19 , 	5810.00
2015-01-20 , 	5810.00
2015-01-21 , 	5810.00
2015-01-22 , 	5810.00
2015-01-23 , 	5810.00
2015-01-24 , 	5810.00
2015-01-25 , 	5810.00
2015-01-26 , 	5810.00
2015-01-27 , 	5810.00
2015-01-28 , 	5810.00
2015-01-29 , 	5810.00
2015-01-30 , 	5810.00
2015-01-31 , 	5810.00
2015-02-01 , 	5550.00
2015-02-02 , 	5550.00
2015-02-03 , 	5550.00
2015-02-04 , 	5550.00
2015-02-05 , 	5550.00
2015-02-06 , 	5550.00
2015-02-07 , 	5550.00
2015-02-08 , 	5550.00
2015-02-09 , 	5550.00
2015-02-10 , 	5550.00
2015-02-11 , 	5550.00
2015-02-12 , 	5550.00
2015-02-13 , 	5550.00
2015-02-14 , 	5550.00
2015-02-15 , 	5550.00
2015-02-16 , 	5550.00
2015-02-17 , 	5550.00
2015-02-18 , 	5550.00
2015-02-19 , 	5550.00
2015-02-20 , 	5550.00
2015-02-21 , 	5550.00
2015-02-22 , 	5550.00
2015-02-23 , 	5550.00
2015-02-24 , 	5550.00
2015-02-25 , 	5550.00
2015-02-26 , 	5550.00
2015-02-27 , 	5550.00
2015-02-28 , 	5550.00
2015-03-01 , 	5450.00
2015-03-02 , 	5450.00
2015-03-03 , 	5450.00
2015-03-04 , 	5450.00
2015-03-05 , 	5450.00
2015-03-06 , 	5450.00
2015-03-07 , 	5450.00
2015-03-08 , 	5450.00
2015-03-09 , 	5450.00
2015-03-10 , 	5450.00
2015-03-11 , 	5450.00
2015-03-12 , 	5450.00
2015-03-13 , 	5450.00
2015-03-14 , 	5450.00
2015-03-15 , 	5450.00
2015-03-16 , 	5450.00
2015-03-17 , 	5450.00
2015-03-18 , 	5450.00
2015-03-19 , 	5450.00
2015-03-20 , 	5450.00
2015-03-21 , 	5450.00
2015-03-22 , 	5450.00
2015-03-23 , 	5450.00
2015-03-24 , 	5450.00
2015-03-25 , 	5450.00
2015-03-26 , 	5450.00
2015-03-27 , 	5450.00
2015-03-28 , 	5450.00
2015-03-29 , 	5450.00
2015-03-30 , 	5450.00
2015-03-31 , 	5450.00
2015-04-01 , 	5900.00
2015-04-02 , 	5900.00
2015-04-03 , 	5900.00
2015-04-04 , 	5900.00
2015-04-05 , 	5900.00
2015-04-06 , 	5900.00
2015-04-07 , 	5900.00
2015-04-08 , 	5900.00
2015-04-09 , 	5900.00
2015-04-10 , 	5900.00
2015-04-11 , 	5900.00
2015-04-12 , 	5900.00
2015-04-13 , 	5900.00
2015-04-14 , 	5900.00
2015-04-15 , 	5900.00
2015-04-16 , 	5900.00
2015-04-17 , 	5900.00
2015-04-18 , 	5900.00
2015-04-19 , 	5900.00
2015-04-20 , 	5900.00
2015-04-21 , 	5900.00
2015-04-22 , 	5900.00
2015-04-23 , 	5900.00
2015-04-24 , 	5900.00
2015-04-25 , 	5900.00
2015-04-26 , 	5900.00
2015-04-27 , 	5900.00
2015-04-28 , 	5900.00
2015-04-29 , 	5900.00
2015-04-30 , 	5900.00
2015-05-01 , 	6070.00
2015-05-02 , 	6070.00
2015-05-03 , 	6070.00
2015-05-04 , 	6070.00
2015-05-05 , 	6070.00
2015-05-06 , 	6070.00
2015-05-07 , 	6070.00
2015-05-08 , 	6070.00
2015-05-09 , 	6070.00
2015-05-10 , 	6070.00
2015-05-11 , 	6070.00
2015-05-12 , 	6070.00
2015-05-13 , 	6070.00
2015-05-14 , 	6070.00
2015-05-15 , 	6070.00
2015-05-16 , 	6070.00
2015-05-17 , 	6070.00
2015-05-18 , 	6070.00
2015-05-19 , 	6070.00
2015-05-20 , 	6070.00
2015-05-21 , 	6070.00
2015-05-22 , 	6070.00
2015-05-23 , 	6070.00
2015-05-24 , 	6070.00
2015-05-25 , 	6070.00
2015-05-26 , 	6070.00
2015-05-27 , 	6070.00
2015-05-28 , 	6070.00
2015-05-29 , 	6070.00
2015-05-30 , 	6070.00
2015-05-31 , 	6070.00
2015-06-01 , 	6420.00
2015-06-02 , 	6420.00
2015-06-03 , 	6420.00
2015-06-04 , 	6420.00
2015-06-05 , 	6420.00
2015-06-06 , 	6420.00
2015-06-07 , 	6420.00
2015-06-08 , 	6420.00
2015-06-09 , 	6420.00
2015-06-10 , 	6420.00
2015-06-11 , 	6420.00
2015-06-12 , 	6420.00
2015-06-13 , 	6420.00
2015-06-14 , 	6420.00
2015-06-15 , 	6420.00
2015-06-16 , 	6420.00
2015-06-17 , 	6420.00
2015-06-18 , 	6420.00
2015-06-19 , 	6420.00
2015-06-20 , 	6420.00
2015-06-21 , 	6420.00
2015-06-22 , 	6420.00
2015-06-23 , 	6420.00
2015-06-24 , 	6420.00
2015-06-25 , 	6420.00
2015-06-26 , 	6420.00
2015-06-27 , 	6420.00
2015-06-28 , 	6420.00
2015-06-29 , 	6420.00
2015-06-30 , 	6420.00
2015-07-01 , 	6930.00
2015-07-02 , 	6930.00
2015-07-03 , 	6930.00
2015-07-04 , 	6930.00
2015-07-05 , 	6930.00
2015-07-06 , 	6930.00
2015-07-07 , 	6930.00
2015-07-08 , 	6930.00
2015-07-09 , 	6930.00
