UNITS:	cms	
KIND:	nbs	
INTERVAL:	dly	
LOCATION:	stc	
# m applied d		
2014-04-16 , 	430.00
2014-04-17 , 	430.00
2014-04-18 , 	430.00
2014-04-19 , 	430.00
2014-04-20 , 	430.00
2014-04-21 , 	430.00
2014-04-22 , 	430.00
2014-04-23 , 	430.00
2014-04-24 , 	430.00
2014-04-25 , 	430.00
2014-04-26 , 	430.00
2014-04-27 , 	430.00
2014-04-28 , 	430.00
2014-04-29 , 	430.00
2014-04-30 , 	430.00
2014-05-01 , 	520.00
2014-05-02 , 	520.00
2014-05-03 , 	520.00
2014-05-04 , 	520.00
2014-05-05 , 	520.00
2014-05-06 , 	520.00
2014-05-07 , 	520.00
2014-05-08 , 	520.00
2014-05-09 , 	520.00
2014-05-10 , 	520.00
2014-05-11 , 	520.00
2014-05-12 , 	520.00
2014-05-13 , 	520.00
2014-05-14 , 	520.00
2014-05-15 , 	520.00
2014-05-16 , 	520.00
2014-05-17 , 	520.00
2014-05-18 , 	520.00
2014-05-19 , 	520.00
2014-05-20 , 	520.00
2014-05-21 , 	520.00
2014-05-22 , 	520.00
2014-05-23 , 	520.00
2014-05-24 , 	520.00
2014-05-25 , 	520.00
2014-05-26 , 	520.00
2014-05-27 , 	520.00
2014-05-28 , 	520.00
2014-05-29 , 	520.00
2014-05-30 , 	520.00
2014-05-31 , 	520.00
2014-06-01 , 	290.00
2014-06-02 , 	290.00
2014-06-03 , 	290.00
2014-06-04 , 	290.00
2014-06-05 , 	290.00
2014-06-06 , 	290.00
2014-06-07 , 	290.00
2014-06-08 , 	290.00
2014-06-09 , 	290.00
2014-06-10 , 	290.00
2014-06-11 , 	290.00
2014-06-12 , 	290.00
2014-06-13 , 	290.00
2014-06-14 , 	290.00
2014-06-15 , 	290.00
2014-06-16 , 	290.00
2014-06-17 , 	290.00
2014-06-18 , 	290.00
2014-06-19 , 	290.00
2014-06-20 , 	290.00
2014-06-21 , 	290.00
2014-06-22 , 	290.00
2014-06-23 , 	290.00
2014-06-24 , 	290.00
2014-06-25 , 	290.00
2014-06-26 , 	290.00
2014-06-27 , 	290.00
2014-06-28 , 	290.00
2014-06-29 , 	290.00
2014-06-30 , 	290.00
2014-07-01 , 	320.00
2014-07-02 , 	320.00
2014-07-03 , 	320.00
2014-07-04 , 	320.00
2014-07-05 , 	320.00
2014-07-06 , 	320.00
2014-07-07 , 	320.00
2014-07-08 , 	320.00
2014-07-09 , 	320.00
2014-07-10 , 	320.00
2014-07-11 , 	320.00
2014-07-12 , 	320.00
2014-07-13 , 	320.00
2014-07-14 , 	320.00
2014-07-15 , 	320.00
2014-07-16 , 	320.00
2014-07-17 , 	320.00
2014-07-18 , 	320.00
2014-07-19 , 	320.00
2014-07-20 , 	320.00
2014-07-21 , 	320.00
2014-07-22 , 	320.00
2014-07-23 , 	320.00
2014-07-24 , 	320.00
2014-07-25 , 	320.00
2014-07-26 , 	320.00
2014-07-27 , 	320.00
2014-07-28 , 	320.00
2014-07-29 , 	320.00
2014-07-30 , 	320.00
2014-07-31 , 	320.00
2014-08-01 , 	250.00
2014-08-02 , 	250.00
2014-08-03 , 	250.00
2014-08-04 , 	250.00
2014-08-05 , 	250.00
2014-08-06 , 	250.00
2014-08-07 , 	250.00
2014-08-08 , 	250.00
2014-08-09 , 	250.00
2014-08-10 , 	250.00
2014-08-11 , 	250.00
2014-08-12 , 	250.00
2014-08-13 , 	250.00
2014-08-14 , 	250.00
2014-08-15 , 	250.00
2014-08-16 , 	250.00
2014-08-17 , 	250.00
2014-08-18 , 	250.00
2014-08-19 , 	250.00
2014-08-20 , 	250.00
2014-08-21 , 	250.00
2014-08-22 , 	250.00
2014-08-23 , 	250.00
2014-08-24 , 	250.00
2014-08-25 , 	250.00
2014-08-26 , 	250.00
2014-08-27 , 	250.00
2014-08-28 , 	250.00
2014-08-29 , 	250.00
2014-08-30 , 	250.00
2014-08-31 , 	250.00
2014-09-01 , 	320.00
2014-09-02 , 	320.00
2014-09-03 , 	320.00
2014-09-04 , 	320.00
2014-09-05 , 	320.00
2014-09-06 , 	320.00
2014-09-07 , 	320.00
2014-09-08 , 	320.00
2014-09-09 , 	320.00
2014-09-10 , 	320.00
2014-09-11 , 	320.00
2014-09-12 , 	320.00
2014-09-13 , 	320.00
2014-09-14 , 	320.00
2014-09-15 , 	320.00
2014-09-16 , 	320.00
2014-09-17 , 	320.00
2014-09-18 , 	320.00
2014-09-19 , 	320.00
2014-09-20 , 	320.00
2014-09-21 , 	320.00
2014-09-22 , 	320.00
2014-09-23 , 	320.00
2014-09-24 , 	320.00
2014-09-25 , 	320.00
2014-09-26 , 	320.00
2014-09-27 , 	320.00
2014-09-28 , 	320.00
2014-09-29 , 	320.00
2014-09-30 , 	320.00
2014-10-01 , 	270.00
2014-10-02 , 	270.00
2014-10-03 , 	270.00
2014-10-04 , 	270.00
2014-10-05 , 	270.00
2014-10-06 , 	270.00
2014-10-07 , 	270.00
2014-10-08 , 	270.00
2014-10-09 , 	270.00
2014-10-10 , 	270.00
2014-10-11 , 	270.00
2014-10-12 , 	270.00
2014-10-13 , 	270.00
2014-10-14 , 	270.00
2014-10-15 , 	270.00
2014-10-16 , 	270.00
2014-10-17 , 	270.00
2014-10-18 , 	270.00
2014-10-19 , 	270.00
2014-10-20 , 	270.00
2014-10-21 , 	270.00
2014-10-22 , 	270.00
2014-10-23 , 	270.00
2014-10-24 , 	270.00
2014-10-25 , 	270.00
2014-10-26 , 	270.00
2014-10-27 , 	270.00
2014-10-28 , 	270.00
2014-10-29 , 	270.00
2014-10-30 , 	270.00
2014-10-31 , 	270.00
2014-11-01 , 	280.00
2014-11-02 , 	280.00
2014-11-03 , 	280.00
2014-11-04 , 	280.00
2014-11-05 , 	280.00
2014-11-06 , 	280.00
2014-11-07 , 	280.00
2014-11-08 , 	280.00
2014-11-09 , 	280.00
2014-11-10 , 	280.00
2014-11-11 , 	280.00
2014-11-12 , 	280.00
2014-11-13 , 	280.00
2014-11-14 , 	280.00
2014-11-15 , 	280.00
2014-11-16 , 	280.00
2014-11-17 , 	280.00
2014-11-18 , 	280.00
2014-11-19 , 	280.00
2014-11-20 , 	280.00
2014-11-21 , 	280.00
2014-11-22 , 	280.00
2014-11-23 , 	280.00
2014-11-24 , 	280.00
2014-11-25 , 	280.00
2014-11-26 , 	280.00
2014-11-27 , 	280.00
2014-11-28 , 	280.00
2014-11-29 , 	280.00
2014-11-30 , 	280.00
2014-12-01 , 	220.00
2014-12-02 , 	220.00
2014-12-03 , 	220.00
2014-12-04 , 	220.00
2014-12-05 , 	220.00
2014-12-06 , 	220.00
2014-12-07 , 	220.00
2014-12-08 , 	220.00
2014-12-09 , 	220.00
2014-12-10 , 	220.00
2014-12-11 , 	220.00
2014-12-12 , 	220.00
2014-12-13 , 	220.00
2014-12-14 , 	220.00
2014-12-15 , 	220.00
2014-12-16 , 	220.00
2014-12-17 , 	220.00
2014-12-18 , 	220.00
2014-12-19 , 	220.00
2014-12-20 , 	220.00
2014-12-21 , 	220.00
2014-12-22 , 	220.00
2014-12-23 , 	220.00
2014-12-24 , 	220.00
2014-12-25 , 	220.00
2014-12-26 , 	220.00
2014-12-27 , 	220.00
2014-12-28 , 	220.00
2014-12-29 , 	220.00
2014-12-30 , 	220.00
2014-12-31 , 	220.00
2015-01-01 , 	200.00
2015-01-02 , 	200.00
2015-01-03 , 	200.00
2015-01-04 , 	200.00
2015-01-05 , 	200.00
2015-01-06 , 	200.00
2015-01-07 , 	200.00
2015-01-08 , 	200.00
2015-01-09 , 	200.00
2015-01-10 , 	200.00
2015-01-11 , 	200.00
2015-01-12 , 	200.00
2015-01-13 , 	200.00
2015-01-14 , 	200.00
2015-01-15 , 	200.00
2015-01-16 , 	200.00
2015-01-17 , 	200.00
2015-01-18 , 	200.00
2015-01-19 , 	200.00
2015-01-20 , 	200.00
2015-01-21 , 	200.00
2015-01-22 , 	200.00
2015-01-23 , 	200.00
2015-01-24 , 	200.00
2015-01-25 , 	200.00
2015-01-26 , 	200.00
2015-01-27 , 	200.00
2015-01-28 , 	200.00
2015-01-29 , 	200.00
2015-01-30 , 	200.00
2015-01-31 , 	200.00
2015-02-01 , 	550.00
2015-02-02 , 	550.00
2015-02-03 , 	550.00
2015-02-04 , 	550.00
2015-02-05 , 	550.00
2015-02-06 , 	550.00
2015-02-07 , 	550.00
2015-02-08 , 	550.00
2015-02-09 , 	550.00
2015-02-10 , 	550.00
2015-02-11 , 	550.00
2015-02-12 , 	550.00
2015-02-13 , 	550.00
2015-02-14 , 	550.00
2015-02-15 , 	550.00
2015-02-16 , 	550.00
2015-02-17 , 	550.00
2015-02-18 , 	550.00
2015-02-19 , 	550.00
2015-02-20 , 	550.00
2015-02-21 , 	550.00
2015-02-22 , 	550.00
2015-02-23 , 	550.00
2015-02-24 , 	550.00
2015-02-25 , 	550.00
2015-02-26 , 	550.00
2015-02-27 , 	550.00
2015-02-28 , 	550.00
2015-03-01 , 	490.00
2015-03-02 , 	490.00
2015-03-03 , 	490.00
2015-03-04 , 	490.00
2015-03-05 , 	490.00
2015-03-06 , 	490.00
2015-03-07 , 	490.00
2015-03-08 , 	490.00
2015-03-09 , 	490.00
2015-03-10 , 	490.00
2015-03-11 , 	490.00
2015-03-12 , 	490.00
2015-03-13 , 	490.00
2015-03-14 , 	490.00
2015-03-15 , 	490.00
2015-03-16 , 	490.00
2015-03-17 , 	490.00
2015-03-18 , 	490.00
2015-03-19 , 	490.00
2015-03-20 , 	490.00
2015-03-21 , 	490.00
2015-03-22 , 	490.00
2015-03-23 , 	490.00
2015-03-24 , 	490.00
2015-03-25 , 	490.00
2015-03-26 , 	490.00
2015-03-27 , 	490.00
2015-03-28 , 	490.00
2015-03-29 , 	490.00
2015-03-30 , 	490.00
2015-03-31 , 	490.00
2015-04-01 , 	350.00
2015-04-02 , 	350.00
2015-04-03 , 	350.00
2015-04-04 , 	350.00
2015-04-05 , 	350.00
2015-04-06 , 	350.00
2015-04-07 , 	350.00
2015-04-08 , 	350.00
2015-04-09 , 	350.00
2015-04-10 , 	350.00
2015-04-11 , 	350.00
2015-04-12 , 	350.00
2015-04-13 , 	350.00
2015-04-14 , 	350.00
2015-04-15 , 	350.00
2015-04-16 , 	350.00
2015-04-17 , 	350.00
2015-04-18 , 	350.00
2015-04-19 , 	350.00
2015-04-20 , 	350.00
2015-04-21 , 	350.00
2015-04-22 , 	350.00
2015-04-23 , 	350.00
2015-04-24 , 	350.00
2015-04-25 , 	350.00
2015-04-26 , 	350.00
2015-04-27 , 	350.00
2015-04-28 , 	350.00
2015-04-29 , 	350.00
2015-04-30 , 	350.00
2015-05-01 , 	280.00
2015-05-02 , 	280.00
2015-05-03 , 	280.00
2015-05-04 , 	280.00
2015-05-05 , 	280.00
2015-05-06 , 	280.00
2015-05-07 , 	280.00
2015-05-08 , 	280.00
2015-05-09 , 	280.00
2015-05-10 , 	280.00
2015-05-11 , 	280.00
2015-05-12 , 	280.00
2015-05-13 , 	280.00
2015-05-14 , 	280.00
2015-05-15 , 	280.00
2015-05-16 , 	280.00
2015-05-17 , 	280.00
2015-05-18 , 	280.00
2015-05-19 , 	280.00
2015-05-20 , 	280.00
2015-05-21 , 	280.00
2015-05-22 , 	280.00
2015-05-23 , 	280.00
2015-05-24 , 	280.00
2015-05-25 , 	280.00
2015-05-26 , 	280.00
2015-05-27 , 	280.00
2015-05-28 , 	280.00
2015-05-29 , 	280.00
2015-05-30 , 	280.00
2015-05-31 , 	280.00
2015-06-01 , 	480.00
2015-06-02 , 	480.00
2015-06-03 , 	480.00
2015-06-04 , 	480.00
2015-06-05 , 	480.00
2015-06-06 , 	480.00
2015-06-07 , 	480.00
2015-06-08 , 	480.00
2015-06-09 , 	480.00
2015-06-10 , 	480.00
2015-06-11 , 	480.00
2015-06-12 , 	480.00
2015-06-13 , 	480.00
2015-06-14 , 	480.00
2015-06-15 , 	480.00
2015-06-16 , 	480.00
2015-06-17 , 	480.00
2015-06-18 , 	480.00
2015-06-19 , 	480.00
2015-06-20 , 	480.00
2015-06-21 , 	480.00
2015-06-22 , 	480.00
2015-06-23 , 	480.00
2015-06-24 , 	480.00
2015-06-25 , 	480.00
2015-06-26 , 	480.00
2015-06-27 , 	480.00
2015-06-28 , 	480.00
2015-06-29 , 	480.00
2015-06-30 , 	480.00
2015-07-01 , 	390.00
2015-07-02 , 	390.00
2015-07-03 , 	390.00
2015-07-04 , 	390.00
2015-07-05 , 	390.00
2015-07-06 , 	390.00
2015-07-07 , 	390.00
2015-07-08 , 	390.00
2015-07-09 , 	390.00
2015-07-10 , 	390.00
2015-07-11 , 	390.00
2015-07-12 , 	390.00
2015-07-13 , 	390.00
2015-07-14 , 	390.00
2015-07-15 , 	390.00
2015-07-16 , 	390.00
2015-07-17 , 	390.00
2015-07-18 , 	390.00
2015-07-19 , 	390.00
2015-07-20 , 	390.00
2015-07-21 , 	390.00
2015-07-22 , 	390.00
2015-07-23 , 	390.00
2015-07-24 , 	390.00
2015-07-25 , 	390.00
2015-07-26 , 	390.00
2015-07-27 , 	390.00
2015-07-28 , 	390.00
2015-07-29 , 	390.00
2015-07-30 , 	390.00
2015-07-31 , 	390.00
2015-08-01 , 	290.00
2015-08-02 , 	290.00
2015-08-03 , 	290.00
2015-08-04 , 	290.00
2015-08-05 , 	290.00
2015-08-06 , 	290.00
2015-08-07 , 	290.00
2015-08-08 , 	290.00
2015-08-09 , 	290.00
2015-08-10 , 	290.00
2015-08-11 , 	290.00
2015-08-12 , 	290.00
2015-08-13 , 	290.00
2015-08-14 , 	290.00
2015-08-15 , 	290.00
2015-08-16 , 	290.00
2015-08-17 , 	290.00
2015-08-18 , 	290.00
2015-08-19 , 	290.00
2015-08-20 , 	290.00
2015-08-21 , 	290.00
2015-08-22 , 	290.00
2015-08-23 , 	290.00
2015-08-24 , 	290.00
2015-08-25 , 	290.00
2015-08-26 , 	290.00
2015-08-27 , 	290.00
2015-08-28 , 	290.00
2015-08-29 , 	290.00
2015-08-30 , 	290.00
2015-08-31 , 	290.00
2015-09-01 , 	280.00
2015-09-02 , 	280.00
2015-09-03 , 	280.00
2015-09-04 , 	280.00
2015-09-05 , 	280.00
2015-09-06 , 	280.00
2015-09-07 , 	280.00
2015-09-08 , 	280.00
2015-09-09 , 	280.00
2015-09-10 , 	280.00
