UNITS:	cms	
KIND:	flow	
INTERVAL:	dly	
LOCATION:	smr	
# historical		
2014-03-02 , 	1970.00
2014-03-03 , 	1970.00
2014-03-04 , 	1970.00
2014-03-05 , 	1970.00
2014-03-06 , 	1970.00
2014-03-07 , 	1970.00
2014-03-08 , 	1970.00
2014-03-09 , 	1970.00
2014-03-10 , 	1970.00
2014-03-11 , 	1970.00
2014-03-12 , 	1970.00
2014-03-13 , 	1970.00
2014-03-14 , 	1970.00
2014-03-15 , 	1970.00
2014-03-16 , 	1970.00
2014-03-17 , 	1970.00
2014-03-18 , 	1970.00
2014-03-19 , 	1970.00
2014-03-20 , 	1970.00
2014-03-21 , 	1970.00
2014-03-22 , 	1970.00
2014-03-23 , 	1970.00
2014-03-24 , 	1970.00
2014-03-25 , 	1970.00
2014-03-26 , 	1970.00
2014-03-27 , 	1970.00
2014-03-28 , 	1970.00
2014-03-29 , 	1970.00
2014-03-30 , 	1970.00
2014-03-31 , 	1970.00
2014-04-01 , 	2020.00
2014-04-02 , 	2020.00
2014-04-03 , 	2020.00
2014-04-04 , 	2020.00
2014-04-05 , 	2020.00
2014-04-06 , 	2020.00
2014-04-07 , 	2020.00
2014-04-08 , 	2020.00
2014-04-09 , 	2020.00
2014-04-10 , 	2020.00
2014-04-11 , 	2020.00
2014-04-12 , 	2020.00
2014-04-13 , 	2020.00
2014-04-14 , 	2020.00
2014-04-15 , 	2020.00
2014-04-16 , 	2020.00
2014-04-17 , 	2020.00
2014-04-18 , 	2020.00
2014-04-19 , 	2020.00
2014-04-20 , 	2020.00
2014-04-21 , 	2020.00
2014-04-22 , 	2020.00
2014-04-23 , 	2020.00
2014-04-24 , 	2020.00
2014-04-25 , 	2020.00
2014-04-26 , 	2020.00
2014-04-27 , 	2020.00
2014-04-28 , 	2020.00
2014-04-29 , 	2020.00
2014-04-30 , 	2020.00
2014-05-01 , 	2360.00
2014-05-02 , 	2360.00
2014-05-03 , 	2360.00
2014-05-04 , 	2360.00
2014-05-05 , 	2360.00
2014-05-06 , 	2360.00
2014-05-07 , 	2360.00
2014-05-08 , 	2360.00
2014-05-09 , 	2360.00
2014-05-10 , 	2360.00
2014-05-11 , 	2360.00
2014-05-12 , 	2360.00
2014-05-13 , 	2360.00
2014-05-14 , 	2360.00
2014-05-15 , 	2360.00
2014-05-16 , 	2360.00
2014-05-17 , 	2360.00
2014-05-18 , 	2360.00
2014-05-19 , 	2360.00
2014-05-20 , 	2360.00
2014-05-21 , 	2360.00
2014-05-22 , 	2360.00
2014-05-23 , 	2360.00
2014-05-24 , 	2360.00
2014-05-25 , 	2360.00
2014-05-26 , 	2360.00
2014-05-27 , 	2360.00
2014-05-28 , 	2360.00
2014-05-29 , 	2360.00
2014-05-30 , 	2360.00
2014-05-31 , 	2360.00
2014-06-01 , 	2700.00
2014-06-02 , 	2700.00
2014-06-03 , 	2700.00
2014-06-04 , 	2700.00
2014-06-05 , 	2700.00
2014-06-06 , 	2700.00
2014-06-07 , 	2700.00
2014-06-08 , 	2700.00
2014-06-09 , 	2700.00
2014-06-10 , 	2700.00
2014-06-11 , 	2700.00
2014-06-12 , 	2700.00
2014-06-13 , 	2700.00
2014-06-14 , 	2700.00
2014-06-15 , 	2700.00
2014-06-16 , 	2700.00
2014-06-17 , 	2700.00
2014-06-18 , 	2700.00
2014-06-19 , 	2700.00
2014-06-20 , 	2700.00
2014-06-21 , 	2700.00
2014-06-22 , 	2700.00
2014-06-23 , 	2700.00
2014-06-24 , 	2700.00
2014-06-25 , 	2700.00
2014-06-26 , 	2700.00
2014-06-27 , 	2700.00
2014-06-28 , 	2700.00
