UNITS:	cms	
KIND:	flow	
INTERVAL:	dly	
LOCATION:	det	
# m applied d		
2014-10-31 , 	5910.00
2014-11-01 , 	5980.00
2014-11-02 , 	5980.00
2014-11-03 , 	5980.00
2014-11-04 , 	5980.00
2014-11-05 , 	5980.00
2014-11-06 , 	5980.00
2014-11-07 , 	5980.00
2014-11-08 , 	5980.00
2014-11-09 , 	5980.00
2014-11-10 , 	5980.00
2014-11-11 , 	5980.00
2014-11-12 , 	5980.00
2014-11-13 , 	5980.00
2014-11-14 , 	5980.00
2014-11-15 , 	5980.00
2014-11-16 , 	5980.00
2014-11-17 , 	5980.00
2014-11-18 , 	5980.00
2014-11-19 , 	5980.00
2014-11-20 , 	5980.00
2014-11-21 , 	5980.00
2014-11-22 , 	5980.00
2014-11-23 , 	5980.00
2014-11-24 , 	5980.00
2014-11-25 , 	5980.00
2014-11-26 , 	5980.00
2014-11-27 , 	5980.00
2014-11-28 , 	5980.00
2014-11-29 , 	5980.00
2014-11-30 , 	5980.00
2014-12-01 , 	5990.00
2014-12-02 , 	5990.00
2014-12-03 , 	5990.00
2014-12-04 , 	5990.00
2014-12-05 , 	5990.00
2014-12-06 , 	5990.00
2014-12-07 , 	5990.00
2014-12-08 , 	5990.00
2014-12-09 , 	5990.00
2014-12-10 , 	5990.00
2014-12-11 , 	5990.00
2014-12-12 , 	5990.00
2014-12-13 , 	5990.00
2014-12-14 , 	5990.00
2014-12-15 , 	5990.00
2014-12-16 , 	5990.00
2014-12-17 , 	5990.00
2014-12-18 , 	5990.00
2014-12-19 , 	5990.00
2014-12-20 , 	5990.00
2014-12-21 , 	5990.00
2014-12-22 , 	5990.00
2014-12-23 , 	5990.00
2014-12-24 , 	5990.00
2014-12-25 , 	5990.00
2014-12-26 , 	5990.00
2014-12-27 , 	5990.00
2014-12-28 , 	5990.00
2014-12-29 , 	5990.00
2014-12-30 , 	5990.00
2014-12-31 , 	5990.00
2015-01-01 , 	4860.00
2015-01-02 , 	4860.00
2015-01-03 , 	4860.00
2015-01-04 , 	4860.00
2015-01-05 , 	4860.00
2015-01-06 , 	4860.00
2015-01-07 , 	4860.00
2015-01-08 , 	4860.00
2015-01-09 , 	4860.00
2015-01-10 , 	4860.00
2015-01-11 , 	4860.00
2015-01-12 , 	4860.00
2015-01-13 , 	4860.00
