UNITS:	cms	
KIND:	nbs	
INTERVAL:	dly	
LOCATION:	sup	
# m applied d		
2014-03-14 , 	1580.00
2014-03-15 , 	1580.00
2014-03-16 , 	1580.00
2014-03-17 , 	1580.00
2014-03-18 , 	1580.00
2014-03-19 , 	1580.00
2014-03-20 , 	1580.00
2014-03-21 , 	1580.00
2014-03-22 , 	1580.00
2014-03-23 , 	1580.00
2014-03-24 , 	1580.00
2014-03-25 , 	1580.00
2014-03-26 , 	1580.00
2014-03-27 , 	1580.00
2014-03-28 , 	1580.00
2014-03-29 , 	1580.00
2014-03-30 , 	1580.00
2014-03-31 , 	1580.00
2014-04-01 , 	5400.00
2014-04-02 , 	5400.00
2014-04-03 , 	5400.00
2014-04-04 , 	5400.00
2014-04-05 , 	5400.00
2014-04-06 , 	5400.00
2014-04-07 , 	5400.00
2014-04-08 , 	5400.00
2014-04-09 , 	5400.00
2014-04-10 , 	5400.00
2014-04-11 , 	5400.00
2014-04-12 , 	5400.00
2014-04-13 , 	5400.00
2014-04-14 , 	5400.00
2014-04-15 , 	5400.00
2014-04-16 , 	5400.00
2014-04-17 , 	5400.00
2014-04-18 , 	5400.00
2014-04-19 , 	5400.00
2014-04-20 , 	5400.00
2014-04-21 , 	5400.00
2014-04-22 , 	5400.00
2014-04-23 , 	5400.00
2014-04-24 , 	5400.00
2014-04-25 , 	5400.00
2014-04-26 , 	5400.00
2014-04-27 , 	5400.00
2014-04-28 , 	5400.00
2014-04-29 , 	5400.00
2014-04-30 , 	5400.00
2014-05-01 , 	8420.00
2014-05-02 , 	8420.00
2014-05-03 , 	8420.00
2014-05-04 , 	8420.00
2014-05-05 , 	8420.00
2014-05-06 , 	8420.00
2014-05-07 , 	8420.00
2014-05-08 , 	8420.00
2014-05-09 , 	8420.00
2014-05-10 , 	8420.00
2014-05-11 , 	8420.00
2014-05-12 , 	8420.00
2014-05-13 , 	8420.00
2014-05-14 , 	8420.00
2014-05-15 , 	8420.00
2014-05-16 , 	8420.00
2014-05-17 , 	8420.00
2014-05-18 , 	8420.00
2014-05-19 , 	8420.00
2014-05-20 , 	8420.00
2014-05-21 , 	8420.00
2014-05-22 , 	8420.00
2014-05-23 , 	8420.00
2014-05-24 , 	8420.00
2014-05-25 , 	8420.00
2014-05-26 , 	8420.00
2014-05-27 , 	8420.00
2014-05-28 , 	8420.00
2014-05-29 , 	8420.00
2014-05-30 , 	8420.00
2014-05-31 , 	8420.00
2014-06-01 , 	5210.00
2014-06-02 , 	5210.00
2014-06-03 , 	5210.00
2014-06-04 , 	5210.00
2014-06-05 , 	5210.00
2014-06-06 , 	5210.00
2014-06-07 , 	5210.00
2014-06-08 , 	5210.00
2014-06-09 , 	5210.00
2014-06-10 , 	5210.00
2014-06-11 , 	5210.00
2014-06-12 , 	5210.00
2014-06-13 , 	5210.00
2014-06-14 , 	5210.00
2014-06-15 , 	5210.00
2014-06-16 , 	5210.00
2014-06-17 , 	5210.00
2014-06-18 , 	5210.00
2014-06-19 , 	5210.00
2014-06-20 , 	5210.00
2014-06-21 , 	5210.00
2014-06-22 , 	5210.00
