UNITS:	cms	
KIND:	nbs	
INTERVAL:	dly	
LOCATION:	ont	
# m applied d		
2014-05-11 , 	2400.00
2014-05-12 , 	2400.00
2014-05-13 , 	2400.00
2014-05-14 , 	2400.00
2014-05-15 , 	2400.00
2014-05-16 , 	2400.00
2014-05-17 , 	2400.00
2014-05-18 , 	2400.00
2014-05-19 , 	2400.00
2014-05-20 , 	2400.00
2014-05-21 , 	2400.00
2014-05-22 , 	2400.00
2014-05-23 , 	2400.00
2014-05-24 , 	2400.00
2014-05-25 , 	2400.00
2014-05-26 , 	2400.00
2014-05-27 , 	2400.00
2014-05-28 , 	2400.00
2014-05-29 , 	2400.00
2014-05-30 , 	2400.00
2014-05-31 , 	2400.00
2014-06-01 , 	1790.00
2014-06-02 , 	1790.00
2014-06-03 , 	1790.00
2014-06-04 , 	1790.00
2014-06-05 , 	1790.00
2014-06-06 , 	1790.00
2014-06-07 , 	1790.00
2014-06-08 , 	1790.00
2014-06-09 , 	1790.00
2014-06-10 , 	1790.00
2014-06-11 , 	1790.00
2014-06-12 , 	1790.00
2014-06-13 , 	1790.00
2014-06-14 , 	1790.00
2014-06-15 , 	1790.00
2014-06-16 , 	1790.00
2014-06-17 , 	1790.00
2014-06-18 , 	1790.00
2014-06-19 , 	1790.00
2014-06-20 , 	1790.00
2014-06-21 , 	1790.00
2014-06-22 , 	1790.00
2014-06-23 , 	1790.00
2014-06-24 , 	1790.00
2014-06-25 , 	1790.00
2014-06-26 , 	1790.00
2014-06-27 , 	1790.00
2014-06-28 , 	1790.00
2014-06-29 , 	1790.00
2014-06-30 , 	1790.00
2014-07-01 , 	970.00
2014-07-02 , 	970.00
2014-07-03 , 	970.00
2014-07-04 , 	970.00
2014-07-05 , 	970.00
2014-07-06 , 	970.00
2014-07-07 , 	970.00
2014-07-08 , 	970.00
2014-07-09 , 	970.00
2014-07-10 , 	970.00
2014-07-11 , 	970.00
2014-07-12 , 	970.00
2014-07-13 , 	970.00
2014-07-14 , 	970.00
2014-07-15 , 	970.00
2014-07-16 , 	970.00
2014-07-17 , 	970.00
2014-07-18 , 	970.00
2014-07-19 , 	970.00
2014-07-20 , 	970.00
2014-07-21 , 	970.00
2014-07-22 , 	970.00
2014-07-23 , 	970.00
2014-07-24 , 	970.00
2014-07-25 , 	970.00
2014-07-26 , 	970.00
2014-07-27 , 	970.00
2014-07-28 , 	970.00
2014-07-29 , 	970.00
2014-07-30 , 	970.00
2014-07-31 , 	970.00
2014-08-01 , 	670.00
2014-08-02 , 	670.00
2014-08-03 , 	670.00
2014-08-04 , 	670.00
2014-08-05 , 	670.00
2014-08-06 , 	670.00
2014-08-07 , 	670.00
2014-08-08 , 	670.00
2014-08-09 , 	670.00
2014-08-10 , 	670.00
2014-08-11 , 	670.00
2014-08-12 , 	670.00
2014-08-13 , 	670.00
2014-08-14 , 	670.00
2014-08-15 , 	670.00
2014-08-16 , 	670.00
2014-08-17 , 	670.00
2014-08-18 , 	670.00
2014-08-19 , 	670.00
2014-08-20 , 	670.00
2014-08-21 , 	670.00
2014-08-22 , 	670.00
2014-08-23 , 	670.00
2014-08-24 , 	670.00
2014-08-25 , 	670.00
2014-08-26 , 	670.00
2014-08-27 , 	670.00
2014-08-28 , 	670.00
2014-08-29 , 	670.00
2014-08-30 , 	670.00
2014-08-31 , 	670.00
2014-09-01 , 	-40.00
2014-09-02 , 	-40.00
2014-09-03 , 	-40.00
2014-09-04 , 	-40.00
2014-09-05 , 	-40.00
2014-09-06 , 	-40.00
2014-09-07 , 	-40.00
2014-09-08 , 	-40.00
2014-09-09 , 	-40.00
2014-09-10 , 	-40.00
2014-09-11 , 	-40.00
2014-09-12 , 	-40.00
2014-09-13 , 	-40.00
2014-09-14 , 	-40.00
2014-09-15 , 	-40.00
2014-09-16 , 	-40.00
2014-09-17 , 	-40.00
2014-09-18 , 	-40.00
2014-09-19 , 	-40.00
2014-09-20 , 	-40.00
2014-09-21 , 	-40.00
2014-09-22 , 	-40.00
2014-09-23 , 	-40.00
2014-09-24 , 	-40.00
2014-09-25 , 	-40.00
2014-09-26 , 	-40.00
2014-09-27 , 	-40.00
2014-09-28 , 	-40.00
2014-09-29 , 	-40.00
2014-09-30 , 	-40.00
2014-10-01 , 	180.00
2014-10-02 , 	180.00
2014-10-03 , 	180.00
2014-10-04 , 	180.00
2014-10-05 , 	180.00
2014-10-06 , 	180.00
2014-10-07 , 	180.00
2014-10-08 , 	180.00
2014-10-09 , 	180.00
2014-10-10 , 	180.00
2014-10-11 , 	180.00
2014-10-12 , 	180.00
2014-10-13 , 	180.00
2014-10-14 , 	180.00
2014-10-15 , 	180.00
2014-10-16 , 	180.00
2014-10-17 , 	180.00
2014-10-18 , 	180.00
2014-10-19 , 	180.00
2014-10-20 , 	180.00
2014-10-21 , 	180.00
2014-10-22 , 	180.00
2014-10-23 , 	180.00
2014-10-24 , 	180.00
2014-10-25 , 	180.00
2014-10-26 , 	180.00
2014-10-27 , 	180.00
2014-10-28 , 	180.00
2014-10-29 , 	180.00
2014-10-30 , 	180.00
2014-10-31 , 	180.00
2014-11-01 , 	180.00
2014-11-02 , 	180.00
2014-11-03 , 	180.00
2014-11-04 , 	180.00
2014-11-05 , 	180.00
2014-11-06 , 	180.00
2014-11-07 , 	180.00
2014-11-08 , 	180.00
2014-11-09 , 	180.00
2014-11-10 , 	180.00
2014-11-11 , 	180.00
2014-11-12 , 	180.00
2014-11-13 , 	180.00
2014-11-14 , 	180.00
2014-11-15 , 	180.00
2014-11-16 , 	180.00
2014-11-17 , 	180.00
2014-11-18 , 	180.00
2014-11-19 , 	180.00
2014-11-20 , 	180.00
2014-11-21 , 	180.00
2014-11-22 , 	180.00
2014-11-23 , 	180.00
2014-11-24 , 	180.00
2014-11-25 , 	180.00
2014-11-26 , 	180.00
2014-11-27 , 	180.00
2014-11-28 , 	180.00
2014-11-29 , 	180.00
2014-11-30 , 	180.00
2014-12-01 , 	900.00
2014-12-02 , 	900.00
2014-12-03 , 	900.00
2014-12-04 , 	900.00
2014-12-05 , 	900.00
2014-12-06 , 	900.00
2014-12-07 , 	900.00
2014-12-08 , 	900.00
2014-12-09 , 	900.00
2014-12-10 , 	900.00
2014-12-11 , 	900.00
2014-12-12 , 	900.00
2014-12-13 , 	900.00
2014-12-14 , 	900.00
2014-12-15 , 	900.00
2014-12-16 , 	900.00
2014-12-17 , 	900.00
2014-12-18 , 	900.00
2014-12-19 , 	900.00
2014-12-20 , 	900.00
2014-12-21 , 	900.00
2014-12-22 , 	900.00
2014-12-23 , 	900.00
2014-12-24 , 	900.00
2014-12-25 , 	900.00
2014-12-26 , 	900.00
2014-12-27 , 	900.00
2014-12-28 , 	900.00
2014-12-29 , 	900.00
2014-12-30 , 	900.00
2014-12-31 , 	900.00
2015-01-01 , 	650.00
2015-01-02 , 	650.00
2015-01-03 , 	650.00
2015-01-04 , 	650.00
2015-01-05 , 	650.00
2015-01-06 , 	650.00
2015-01-07 , 	650.00
2015-01-08 , 	650.00
2015-01-09 , 	650.00
2015-01-10 , 	650.00
2015-01-11 , 	650.00
2015-01-12 , 	650.00
2015-01-13 , 	650.00
2015-01-14 , 	650.00
2015-01-15 , 	650.00
2015-01-16 , 	650.00
2015-01-17 , 	650.00
2015-01-18 , 	650.00
2015-01-19 , 	650.00
2015-01-20 , 	650.00
2015-01-21 , 	650.00
2015-01-22 , 	650.00
2015-01-23 , 	650.00
2015-01-24 , 	650.00
2015-01-25 , 	650.00
2015-01-26 , 	650.00
2015-01-27 , 	650.00
2015-01-28 , 	650.00
2015-01-29 , 	650.00
2015-01-30 , 	650.00
2015-01-31 , 	650.00
2015-02-01 , 	90.00
2015-02-02 , 	90.00
2015-02-03 , 	90.00
2015-02-04 , 	90.00
2015-02-05 , 	90.00
2015-02-06 , 	90.00
2015-02-07 , 	90.00
2015-02-08 , 	90.00
2015-02-09 , 	90.00
2015-02-10 , 	90.00
2015-02-11 , 	90.00
2015-02-12 , 	90.00
2015-02-13 , 	90.00
2015-02-14 , 	90.00
2015-02-15 , 	90.00
2015-02-16 , 	90.00
2015-02-17 , 	90.00
2015-02-18 , 	90.00
2015-02-19 , 	90.00
2015-02-20 , 	90.00
2015-02-21 , 	90.00
2015-02-22 , 	90.00
2015-02-23 , 	90.00
2015-02-24 , 	90.00
2015-02-25 , 	90.00
2015-02-26 , 	90.00
2015-02-27 , 	90.00
2015-02-28 , 	90.00
2015-03-01 , 	920.00
2015-03-02 , 	920.00
2015-03-03 , 	920.00
2015-03-04 , 	920.00
2015-03-05 , 	920.00
2015-03-06 , 	920.00
2015-03-07 , 	920.00
2015-03-08 , 	920.00
2015-03-09 , 	920.00
2015-03-10 , 	920.00
2015-03-11 , 	920.00
2015-03-12 , 	920.00
2015-03-13 , 	920.00
2015-03-14 , 	920.00
2015-03-15 , 	920.00
2015-03-16 , 	920.00
2015-03-17 , 	920.00
2015-03-18 , 	920.00
2015-03-19 , 	920.00
2015-03-20 , 	920.00
2015-03-21 , 	920.00
2015-03-22 , 	920.00
2015-03-23 , 	920.00
2015-03-24 , 	920.00
2015-03-25 , 	920.00
2015-03-26 , 	920.00
2015-03-27 , 	920.00
2015-03-28 , 	920.00
2015-03-29 , 	920.00
2015-03-30 , 	920.00
2015-03-31 , 	920.00
2015-04-01 , 	2700.00
2015-04-02 , 	2700.00
2015-04-03 , 	2700.00
2015-04-04 , 	2700.00
2015-04-05 , 	2700.00
2015-04-06 , 	2700.00
2015-04-07 , 	2700.00
2015-04-08 , 	2700.00
2015-04-09 , 	2700.00
2015-04-10 , 	2700.00
2015-04-11 , 	2700.00
2015-04-12 , 	2700.00
2015-04-13 , 	2700.00
2015-04-14 , 	2700.00
2015-04-15 , 	2700.00
2015-04-16 , 	2700.00
2015-04-17 , 	2700.00
2015-04-18 , 	2700.00
2015-04-19 , 	2700.00
2015-04-20 , 	2700.00
2015-04-21 , 	2700.00
2015-04-22 , 	2700.00
2015-04-23 , 	2700.00
2015-04-24 , 	2700.00
2015-04-25 , 	2700.00
2015-04-26 , 	2700.00
2015-04-27 , 	2700.00
2015-04-28 , 	2700.00
2015-04-29 , 	2700.00
2015-04-30 , 	2700.00
2015-05-01 , 	1000.00
2015-05-02 , 	1000.00
2015-05-03 , 	1000.00
2015-05-04 , 	1000.00
2015-05-05 , 	1000.00
2015-05-06 , 	1000.00
2015-05-07 , 	1000.00
2015-05-08 , 	1000.00
2015-05-09 , 	1000.00
2015-05-10 , 	1000.00
2015-05-11 , 	1000.00
2015-05-12 , 	1000.00
2015-05-13 , 	1000.00
2015-05-14 , 	1000.00
2015-05-15 , 	1000.00
2015-05-16 , 	1000.00
2015-05-17 , 	1000.00
2015-05-18 , 	1000.00
2015-05-19 , 	1000.00
2015-05-20 , 	1000.00
2015-05-21 , 	1000.00
2015-05-22 , 	1000.00
2015-05-23 , 	1000.00
2015-05-24 , 	1000.00
2015-05-25 , 	1000.00
2015-05-26 , 	1000.00
2015-05-27 , 	1000.00
2015-05-28 , 	1000.00
2015-05-29 , 	1000.00
2015-05-30 , 	1000.00
2015-05-31 , 	1000.00
2015-06-01 , 	2690.00
2015-06-02 , 	2690.00
2015-06-03 , 	2690.00
2015-06-04 , 	2690.00
2015-06-05 , 	2690.00
2015-06-06 , 	2690.00
2015-06-07 , 	2690.00
2015-06-08 , 	2690.00
2015-06-09 , 	2690.00
2015-06-10 , 	2690.00
2015-06-11 , 	2690.00
2015-06-12 , 	2690.00
2015-06-13 , 	2690.00
2015-06-14 , 	2690.00
2015-06-15 , 	2690.00
2015-06-16 , 	2690.00
2015-06-17 , 	2690.00
2015-06-18 , 	2690.00
2015-06-19 , 	2690.00
2015-06-20 , 	2690.00
2015-06-21 , 	2690.00
2015-06-22 , 	2690.00
2015-06-23 , 	2690.00
2015-06-24 , 	2690.00
2015-06-25 , 	2690.00
2015-06-26 , 	2690.00
2015-06-27 , 	2690.00
2015-06-28 , 	2690.00
2015-06-29 , 	2690.00
2015-06-30 , 	2690.00
2015-07-01 , 	860.00
2015-07-02 , 	860.00
2015-07-03 , 	860.00
2015-07-04 , 	860.00
2015-07-05 , 	860.00
2015-07-06 , 	860.00
2015-07-07 , 	860.00
2015-07-08 , 	860.00
2015-07-09 , 	860.00
2015-07-10 , 	860.00
2015-07-11 , 	860.00
2015-07-12 , 	860.00
2015-07-13 , 	860.00
2015-07-14 , 	860.00
2015-07-15 , 	860.00
2015-07-16 , 	860.00
2015-07-17 , 	860.00
2015-07-18 , 	860.00
2015-07-19 , 	860.00
2015-07-20 , 	860.00
2015-07-21 , 	860.00
2015-07-22 , 	860.00
2015-07-23 , 	860.00
2015-07-24 , 	860.00
2015-07-25 , 	860.00
2015-07-26 , 	860.00
2015-07-27 , 	860.00
2015-07-28 , 	860.00
2015-07-29 , 	860.00
2015-07-30 , 	860.00
2015-07-31 , 	860.00
2015-08-01 , 	160.00
2015-08-02 , 	160.00
2015-08-03 , 	160.00
2015-08-04 , 	160.00
