UNITS:	meters	
KIND:	mlv	
INTERVAL:	dly	
LOCATION:	sup	
# daily lwa			
2014-04-03 , 	183.24
2014-04-04 , 	183.25
2014-04-05 , 	183.25
2014-04-06 , 	183.25
2014-04-07 , 	183.25
2014-04-08 , 	183.26
2014-04-09 , 	183.24
2014-04-10 , 	183.24
2014-04-11 , 	183.25
2014-04-12 , 	183.26
2014-04-13 , 	183.26
2014-04-14 , 	183.28
2014-04-15 , 	183.26
2014-04-16 , 	183.24
2014-04-17 , 	183.25
2014-04-18 , 	183.27
2014-04-19 , 	183.25
2014-04-20 , 	183.26
2014-04-21 , 	183.28
2014-04-22 , 	183.30
2014-04-23 , 	183.28
2014-04-24 , 	183.28
2014-04-25 , 	183.30
2014-04-26 , 	183.32
2014-04-27 , 	183.30
2014-04-28 , 	183.31
2014-04-29 , 	183.32
2014-04-30 , 	183.33
2014-05-01 , 	183.35
2014-05-02 , 	183.36
2014-05-03 , 	183.37
2014-05-04 , 	183.39
2014-05-05 , 	183.38
2014-05-06 , 	183.38
2014-05-07 , 	183.39
2014-05-08 , 	183.40
2014-05-09 , 	183.42
2014-05-10 , 	183.45
2014-05-11 , 	183.46
2014-05-12 , 	183.47
2014-05-13 , 	183.47
2014-05-14 , 	183.49
2014-05-15 , 	183.50
2014-05-16 , 	183.50
2014-05-17 , 	183.49
2014-05-18 , 	183.50
2014-05-19 , 	183.50
2014-05-20 , 	183.51
2014-05-21 , 	183.52
2014-05-22 , 	183.54
2014-05-23 , 	183.54
2014-05-24 , 	183.53
2014-05-25 , 	183.53
2014-05-26 , 	183.54
2014-05-27 , 	183.54
2014-05-28 , 	183.54
2014-05-29 , 	183.54
2014-05-30 , 	183.54
2014-05-31 , 	183.53
2014-06-01 , 	183.54
2014-06-02 , 	183.55
2014-06-03 , 	183.58
2014-06-04 , 	183.59
2014-06-05 , 	183.58
2014-06-06 , 	183.58
2014-06-07 , 	183.59
2014-06-08 , 	183.60
2014-06-09 , 	183.60
2014-06-10 , 	183.59
2014-06-11 , 	183.59
2014-06-12 , 	183.58
2014-06-13 , 	183.61
2014-06-14 , 	183.61
2014-06-15 , 	183.60
2014-06-16 , 	183.61
2014-06-17 , 	183.61
2014-06-18 , 	183.62
2014-06-19 , 	183.62
2014-06-20 , 	183.62
2014-06-21 , 	183.62
2014-06-22 , 	183.62
2014-06-23 , 	183.62
2014-06-24 , 	183.62
2014-06-25 , 	183.63
2014-06-26 , 	183.63
2014-06-27 , 	183.62
2014-06-28 , 	183.62
2014-06-29 , 	183.63
2014-06-30 , 	183.63
2014-07-01 , 	183.63
2014-07-02 , 	183.64
2014-07-03 , 	183.64
2014-07-04 , 	183.63
2014-07-05 , 	183.63
2014-07-06 , 	183.64
2014-07-07 , 	183.66
2014-07-08 , 	183.67
2014-07-09 , 	183.66
2014-07-10 , 	183.66
2014-07-11 , 	183.65
2014-07-12 , 	183.66
2014-07-13 , 	183.66
2014-07-14 , 	183.66
2014-07-15 , 	183.67
2014-07-16 , 	183.66
2014-07-17 , 	183.66
2014-07-18 , 	183.65
2014-07-19 , 	183.64
2014-07-20 , 	183.65
2014-07-21 , 	183.64
2014-07-22 , 	183.66
2014-07-23 , 	183.68
2014-07-24 , 	183.67
2014-07-25 , 	183.66
2014-07-26 , 	183.67
2014-07-27 , 	183.68
2014-07-28 , 	183.67
